AWI00062h7,J002133.47-661816.6,1
AWI0000nfp,J002155.14-672715.9,2
AWI0000bs0,J003140.76-014737.3,2
AWI0005mry,J003412.66+540359.0,1
AWI0000jvv,J003507.14+070625.0,2
AWI00062m4,J004826.42+020753.0,2
AWI0005yiv,J005926.26+400918.2,1
AWI00055sx,J010652.55+743754.5,2
AWI00055sz,J011636.23+740136.6,2
AWI00062mq,J011743.47-523330.8,4
AWI0005w6c,J012650.26+454038.8,2
AWI0004ne5,J013525.89+560237.3,2
AWI00062a8,J013756.15+211539.9,2
AWI0005aeg,J013833.77+780834.3,4
AWI00062aa,J014113.00+163051.7,2
AWI0005zx4,J014928.21+244048.7,1
AWI00008jh,J015317.94-461421.9,2
AWI00062aj,J020221.16+192323.6,1
AWI0005w6v,J021327.01+421923.3,2
AWI0005yjn,J022317.32+381509.7,2
AWI0005yjp,J022515.75+370707.9,2
AWI0005yjq,J023047.36+360701.7,1
AWI0000b9g,J023115.97-094845.9,4
AWI0005w77,J023720.84+395345.8,2
AWI0005zfw,J024430.00+280053.8,1
AWI000425z,J024755.37+553648.4,1
AWI0000c52,J025149.66-244328.9,2
AWI0000phh,J025614.05+040254.2,2
AWI0000xbv,J025926.83+593531.6,1
AWI0005yk3,J030651.95+303136.8,2
AWI00062ic,J030854.20-185809.1,4
AWI00055vo,J031738.10+731810.2,2
AWI0005w7o,J032429.84+341709.9,2
AWI0005ykd,J032448.99+283908.6,1
AWI0005zy4,J032504.59+105835.0,1
AWI00062iw,J032555.87-355515.1,2
AWI0000zqw,J032847.84+575556.1,4
AWI0000mb7,J033337.91-072453.8,2
AWI0000xcq,J033421.19+564343.6,4
AWI0002d6a,J033549.39+641324.7,1
AWI00062j7,J033709.08-294948.5,2
AWI0005ylv,J033900.56+294145.6,4
AWI0005ylw,J033906.73+244209.8,1
AWI0005ylz,J034400.28+243324.6,2
AWI0005ym7,J034921.76+242251.0,2
AWI0005zyr,J035007.87+095528.1,2
AWI0005ym9,J035157.43+255955.4,1
AWI0005w9s,J035958.81+312901.0,2
AWI0005ymc,J040040.65+202447.8,2
AWI0005zz5,J040238.47-004803.7,1
AWI00055vx,J040649.32+702738.0,1
AWI0005ymi,J041249.03+193219.2,1
AWI0002ozm,J041517.47+505124.0,2
AWI00062df,J043026.69-431245.6,2
AWI0006006,J043217.75-133511.5,2
AWI000600b,J043521.12-081730.0,1
AWI0005wbq,J043630.82+184215.2,4
AWI000600n,J043852.53-081329.6,2
AWI0005yn2,J044717.93+054717.4,1
AWI0005yn4,J045013.22+034100.3,1
AWI0005zgy,J045245.95-062129.5,2
AWI0005wcl,J045519.57+163712.9,2
AWI0005zh6,J050206.31-085046.6,4
AWI0005wcz,J050610.47+062929.2,3
AWI0005zhi,J050730.59-061059.9,4
AWI0005wd8,J051143.75+122012.5,2
AWI0005yo4,J051328.63-043910.6,1
AWI0005wdi,J051604.02+061852.6,4
AWI0005wdq,J051740.83+090514.5,4
AWI0005yor,J052007.77-055046.0,2
AWI0005yp1,J052104.79-102057.0,2
AWI0005we7,J052252.94+005557.8,2
AWI0005yp9,J052303.81-044043.7,4
AWI0005web,J052331.01-010423.6,4
AWI0005wee,J052408.04+022746.9,4
AWI0005wef,J052411.19+033521.5,4
AWI0005ypj,J052437.25-084201.9,3
AWI0005ypo,J052556.05-021601.5,4
AWI0005wex,J052617.32+055817.1,4
AWI0005ypv,J052653.64-100458.1,4
AWI0005n0p,J052746.74+174407.4,2
AWI0005wfn,J052859.70+032148.6,2
AWI0005wfv,J052945.11+021539.6,4
AWI0005wg8,J053020.90+004432.8,2
AWI0005yqi,J053047.99-073132.4,4
AWI0005wgp,J053224.00-050523.4,4
AWI0005wgs,J053225.66-034313.6,4
AWI0005wi7,J053431.70-035151.2,4
AWI00055xe,J053523.12+594548.1,2
AWI0005wj7,J053525.11-064756.5,4
AWI0005wjy,J053552.02-061001.6,4
AWI0005wku,J053628.55+000445.6,4
AWI00055xg,J053707.15+603636.4,2
AWI0005wmu,J053805.25-011521.6,4
AWI0001qsl,J053815.82+374440.5,3
AWI0005wnn,J053827.67-065453.6,4
AWI0005wnz,J053839.81-025646.2,4
AWI0005yrn,J053844.06-111411.1,4
AWI0005wox,J053926.39-021503.3,4
AWI0005wpr,J054006.72-061618.9,4
AWI0005yrp,J054011.76-094211.1,4
AWI0005wsf,J054214.29-075835.1,4
AWI0005wsk,J054227.76-100151.2,4
AWI0005e72,J054259.80+445105.2,2
AWI0003lz9,J054330.38+251724.4,4
AWI00055xr,J054733.26+521144.5,4
AWI0005zil,J055417.57-383951.1,4
AWI0005wvr,J055720.57-134921.9,4
AWI0005ww1,J055804.52-141457.4,3
AWI0005wwi,J055924.43-145421.8,4
AWI0003lzu,J060325.99+172444.3,4
AWI0005ag4,J062612.83+473232.1,4
AWI0001a1v,J064151.08+100144.6,4
AWI0005d88,J083100.44+185806.0,1
AWI0000s7e,J103639.10+441425.8,2
AWI000437j,J110245.01-632940.4,1
AWI0000y1k,J111714.49-594610.8,2
AWI0005cwg,J111925.92-301922.9,2
AWI0005da8,J112256.98-203731.7,1
AWI00043e8,J113252.86-652033.1,4
AWI0002dmo,J113505.30-554840.3,4
AWI0005x9h,J114336.83-802900.5,2
AWI0002dny,J114401.39-552327.0,2
AWI00056ck,J121456.32-475654.6,2
AWI00056i5,J132026.77-491325.4,2
AWI0000wqx,J132217.71+623337.9,3
AWI0005f32,J134909.18-541342.3,1
AWI0005f42,J135331.70-523004.9,1
AWI0005f4c,J135518.84-533142.8,2
AWI0005f5v,J140353.79-534628.3,1
AWI0000us7,J142409.74+581826.3,3
AWI0005av7,J143944.28-402206.3,1
AWI0000w9x,J144313.04+014928.7,2
AWI0005cyr,J144458.63-280251.9,1
AWI0000vag,J145820.26+150229.3,3
AWI0000uji,J151147.67+101259.8,2
AWI0000qxd,J152527.16+284914.6,2
AWI0000v1z,J152954.11+234901.6,1
AWI0000t35,J153456.23+335145.2,3
AWI0000tpu,J153716.27+331834.4,2
AWI00005x2,J153910.61-154639.2,2
AWI0000tz1,J154030.20+370101.1,2
AWI0005dyy,J154709.73+303356.0,1
AWI0000tsh,J155009.26+403823.5,1
AWI00004c1,J161241.51+054140.8,3
AWI0005b4j,J161808.54-224218.7,3
AWI0005b52,J162039.60-263428.5,1
AWI0005b5k,J162224.95-232955.1,4
AWI00025ny,J162418.65-431516.5,4
AWI00000lj,J162754.20+061441.3,2
AWI0005b80,J162932.66-254329.3,4
AWI0005b88,J163033.90-242806.5,4
AWI0005dhk,J164021.30+075004.8,3
AWI0005gnp,J164540.79-310226.6,1
AWI00057qr,J164548.44-263858.1,2
AWI0005dhx,J164837.40+351209.3,4
AWI0005di7,J165204.85+145827.2,2
AWI000028h,J165556.61+241554.0,3
AWI00005ko,J165920.60+131219.3,4
AWI0005bew,J170737.21-062607.2,3
AWI0005844,J171043.91-220016.7,2
AWI0005paa,J171307.83-532428.8,3
AWI0005djv,J172007.53+354103.6,1
AWI0005igi,J172452.23-185133.5,1
AWI0005bjo,J172734.02-020656.8,4
AWI0005bk4,J172944.28-061340.5,4
AWI00000om,J173129.67+601156.1,1
AWI00001l8,J173254.69+404312.3,2
AWI0005dkx,J173832.90+425112.9,2
AWI0005bow,J175911.27+135417.8,2
AWI0005d5p,J180230.72+583738.4,1
AWI0005bps,J180533.55+182643.9,1
AWI00059aj,J180611.37+035840.5,4
AWI0005brt,J182004.41+292653.3,1
AWI0002lxd,J182016.88-031207.4,4
AWI0002lxl,J182032.53-022049.6,4
AWI0002ao1,J182614.45-013250.8,1
AWI0002001,J182717.07-041838.0,4
AWI0002apf,J182750.65-022407.4,4
AWI0002m6v,J182955.33+004939.0,4
AWI0002m9o,J183311.41+025439.0,4
AWI0005z1i,J183504.55-661033.0,1
AWI0002mhd,J184305.97+071626.4,2
AWI0002b3p,J184748.57+080147.3,4
AWI0002b6k,J185211.39+102422.6,4
AWI0005xvl,J190206.79-362142.1,2
AWI0002mxe,J190638.88+203326.9,2
AWI00017os,J190901.24+110641.3,4
AWI00059vy,J191845.28+371449.2,4
AWI00021on,J192136.46+220744.7,4
AWI00021py,J192343.53+230856.7,4
AWI0005bwq,J192437.52+563454.9,1
AWI00018m1,J194022.79+251648.4,4
AWI0005byy,J202222.87+730903.7,2
AWI0004y3p,J203123.98+283625.0,3
AWI0006207,J203711.08-650159.9,2
AWI0002o5q,J204109.10+521801.3,4
AWI0002o7p,J204909.99+543431.2,3
AWI0005c01,J205143.50+730449.3,1
AWI0001ps3,J205207.92+484956.9,3
AWI000621a,J205241.67-531624.8,1
AWI0005d7g,J205722.53+870157.8,1
AWI000621k,J205911.24-595822.3,4
AWI000621m,J205952.30-153218.5,4
AWI00022vs,J210144.07+521717.6,4
AWI0002o9g,J210805.95+570209.1,4
AWI0006222,J210916.04-001405.6,1
AWI0006226,J211124.19-192737.9,2
AWI00022y0,J211139.56+534446.4,2
AWI0006228,J211412.49-015843.1,4
AWI000622o,J212547.34-022251.3,4
AWI0005zv8,J212636.95+075307.6,3
AWI00019fp,J212952.96+525601.9,2
AWI0002coc,J213519.16+573638.1,4
AWI0006235,J214241.32-013159.7,2
AWI0001q3p,J214537.00+570201.1,4
AWI0002oe7,J214622.33+623151.8,2
AWI0000phs,J215221.25-031028.9,2
AWI0000ns8,J215739.35-083351.4,3
AWI0000psm,J215947.70-593411.9,2
AWI0002360,J220614.20+600204.6,4
AWI00019i2,J221055.01+575629.4,2
AWI0001q7h,J221158.73+594044.9,4
AWI0005aap,J221513.24+711142.2,4
AWI0000hdq,J222222.91-531805.1,2
AWI0005w29,J222412.79+484918.7,1
AWI0005abb,J222653.92+733429.0,2
AWI0005abf,J222753.27+704806.0,1
AWI0002cu6,J222906.46+631045.9,4
AWI0005yfu,J223445.16+375006.0,2
AWI0000gjb,J224206.62-032824.4,1
AWI0000hog,J224414.01-090123.9,2
AWI00023d1,J224836.29+624808.6,4
AWI0002opj,J224952.84+654925.9,4
AWI0000jcg,J230112.67-585821.9,4
AWI00062gs,J230533.05+145732.5,1
AWI0005w41,J230817.21+511146.3,2
AWI00062kw,J232421.82+061110.7,1
AWI0000ojv,J234708.47+153903.2,3
AWI00019pi,J235135.40+631323.1,4
AWI0005ae4,J235449.26+742436.2,1
AWI00062l3,J235537.71+081323.7,2
AWI0003cp6,J235652.35+611338.1,4
AWI0002d1k,J235734.08+662553.7,4
AWI0000o39,J235746.21+112827.6,1
